"gene_id" "effective_length"
"ENSG00000006128.11" 851.15
"ENSG00000006194.9" 1839.26
"ENSG00000006210.6" 3078.52
"ENSG00000006282.20" 2042.57
"ENSG00000006283.17" 3008.37
"ENSG00000006327.13" 718.69
"ENSG00000006377.10" 2045.16
"ENSG00000006432.15" 9541.91
"ENSG00000006451.7" 2070.33
"ENSG00000006453.13" 3117.75
"ENSG00000006459.10" 8146.88
"ENSG00000006468.13" 2846.63
"ENSG00000006530.15" 2531.54
"ENSG00000006534.15" 2268.02
"ENSG00000006555.10" 2548.61
"ENSG00000006576.16" 3727.87
"ENSG00000006606.8" 267.38
"ENSG00000006607.13" 3243.12
"ENSG00000006611.15" 1223.51
"ENSG00000006625.17" 845.55
"ENSG00000006634.7" 2054.74
"ENSG00000006638.11" 1852.78
"ENSG00000006652.13" 2018.72
"ENSG00000006659.12" 413.41
"ENSG00000006695.10" 2115.66
"ENSG00000006704.10" 1772.05
"ENSG00000006712.14" 1781.32
"ENSG00000006715.15" 2490.62
"ENSG00000006740.16" 2333.59
"ENSG00000006744.18" 2044.57
"ENSG00000006747.14" 2446.15
"ENSG00000006756.15" 1823.53
"ENSG00000006757.11" 393.19
"ENSG00000006788.12" 5809.16
"ENSG00000006831.9" 3737.58
"ENSG00000006837.11" 344.43
"ENSG00000007001.12" 1381.91
"ENSG00000007038.10" 367.2
"ENSG00000007047.14" 1875.02
"ENSG00000007062.11" 1463.52
"ENSG00000007080.10" 654.08
"ENSG00000007129.17" 902.6
"ENSG00000007168.12" 2609.12
"ENSG00000007171.16" 3086.16
"ENSG00000007174.17" 2635.18
"ENSG00000007202.14" 5584.2
"ENSG00000007216.14" 1894.73
"ENSG00000007237.18" 624.78
"ENSG00000007255.10" 467.44
"ENSG00000007264.14" 510.41
"ENSG00000007306.14" 939.01
"ENSG00000007312.12" 900.16
"ENSG00000007314.11" 7546.16
"ENSG00000007341.18" 1034.98
"ENSG00000007350.16" 800.91
"ENSG00000007372.20" 2560.69
"ENSG00000007376.7" 1481.37
"ENSG00000007384.15" 1443.08
"ENSG00000007392.16" 1327.49
"ENSG00000007402.11" 4588.12
"ENSG00000007516.13" 2167.97
"ENSG00000007520.3" 918.56
"ENSG00000007541.16" 1466.3
"ENSG00000007545.15" 5608
"ENSG00000007866.18" 2724.16
"ENSG00000007908.15" 3598.16
"ENSG00000007923.15" 2338.09
"ENSG00000007933.12" 753.68
"ENSG00000007944.14" 1991.3
"ENSG00000007952.17" 1475.16
"ENSG00000007968.6" 4932.16
"ENSG00000008018.8" 679.17
"ENSG00000008056.12" 2950.16
"ENSG00000008083.13" 5354.4
"ENSG00000008086.11" 8731.54
"ENSG00000008118.9" 2181.16
"ENSG00000008128.22" 1447.61
"ENSG00000008130.15" 1757.46
"ENSG00000008196.12" 2209.49
"ENSG00000008197.4" 945.17
"ENSG00000008226.19" 2582.16
"ENSG00000008256.15" 3846.21
"ENSG00000008277.14" 4248.26
"ENSG00000008282.8" 1855.28
"ENSG00000008283.15" 2170.9
"ENSG00000008294.20" 4634.32
"ENSG00000008300.15" 3990.84
"ENSG00000008311.14" 2214.45
"ENSG00000008323.15" 2622.16
"ENSG00000008324.10" 560.7
"ENSG00000008382.15" 1223.48
"ENSG00000008394.12" 613.06
"ENSG00000008405.11" 2989.26
"ENSG00000008438.4" 461.17
"ENSG00000008441.16" 3546.99
"ENSG00000008513.14" 6081.75
"ENSG00000008516.16" 3295.16
"ENSG00000008517.16" 652.46
"ENSG00000008710.18" 2790.33
"ENSG00000008735.13" 3543.15
"ENSG00000008838.18" 1900.14
"ENSG00000008853.16" 4765.2
"ENSG00000008869.11" 6246.58
"ENSG00000008952.16" 2299.34
"ENSG00000008988.9" 369.76
"ENSG00000009307.15" 3315.22
"ENSG00000009335.17" 4577.03
"ENSG00000009413.15" 6288.66
"ENSG00000009694.13" 12616.16
"ENSG00000009709.11" 5279.16
"ENSG00000009724.16" 2168.97
"ENSG00000009765.14" 8483.16
"ENSG00000009780.15" 1842.33
"ENSG00000009790.14" 2342.16
"ENSG00000009830.11" 3271.39
"ENSG00000009844.15" 1590.38
"ENSG00000009950.15" 769.95
"ENSG00000009954.10" 5489.43
"ENSG00000010017.12" 2724.11
"ENSG00000010030.13" 1255.77
"ENSG00000010072.15" 3174.91
"ENSG00000010165.19" 2075.3
"ENSG00000010219.13" 536.31
"ENSG00000010244.17" 1936.79
"ENSG00000010256.10" 832.91
"ENSG00000010270.13" 1257.66
"ENSG00000010278.12" 888.16
"ENSG00000010282.14" 602.83
"ENSG00000010292.12" 3981.44
"ENSG00000010295.19" 2464.13
"ENSG00000010310.8" 1909.16
"ENSG00000010318.20" 922.09
"ENSG00000010319.6" 4640.16
"ENSG00000010322.15" 3173.63
"ENSG00000010327.10" 3484.22
"ENSG00000010361.13" 735.26
"ENSG00000010379.15" 593.83
"ENSG00000010404.17" 4641.14
"ENSG00000010438.16" 593.95
"ENSG00000010539.11" 2677.19
"ENSG00000010610.9" 2855.16
"ENSG00000010626.14" 1031.52
"ENSG00000010671.15" 1989.16
"ENSG00000010704.18" 2281.28
"ENSG00000010803.16" 2369.75
"ENSG00000010810.17" 906.21
"ENSG00000010818.8" 9319.35
"ENSG00000010932.15" 1291.8
"ENSG00000011007.12" 3389.43
"ENSG00000011009.10" 1208.87
"ENSG00000011021.21" 3992.65
"ENSG00000011028.13" 3654.71
"ENSG00000011052.21" 762.16
"ENSG00000011083.8" 3480.16
"ENSG00000011105.11" 4056.94
"ENSG00000011114.14" 4293.1
"ENSG00000011132.11" 1066.63
"ENSG00000011143.16" 1257.3
"ENSG00000011198.7" 1366.27
"ENSG00000011201.11" 6055.16
"ENSG00000011243.17" 1696.2
"ENSG00000011258.15" 4588.52
"ENSG00000011260.13" 1594.77
"ENSG00000011275.18" 4470.14
"ENSG00000011295.15" 2389.42
"ENSG00000011304.18" 2055.67
"ENSG00000011332.19" 1362.36
"ENSG00000011347.9" 2913.42
"ENSG00000011376.9" 3923.84
"ENSG00000011405.13" 6465.61
"ENSG00000011422.11" 1192.2
"ENSG00000011426.10" 3657.74
"ENSG00000011451.17" 3974.12
"ENSG00000011454.16" 4479.96
"ENSG00000011465.16" 1671.16
"ENSG00000011478.11" 1793.51
"ENSG00000011485.14" 1806.41
"ENSG00000011523.13" 5422.94
"ENSG00000011566.14" 3666.03
"ENSG00000011590.13" 1474.16
"ENSG00000011600.11" 263.4
"ENSG00000011638.10" 958.61
"ENSG00000011677.12" 2427.26
"ENSG00000012048.20" 3103.43
"ENSG00000012061.15" 1107.17
"ENSG00000012124.15" 2086.84
"ENSG00000012171.18" 1192.72
"ENSG00000012174.11" 4071.69
"ENSG00000012211.12" 1397.2
"ENSG00000012223.12" 234.61
"ENSG00000012232.8" 3863.36
"ENSG00000012504.13" 2625.16
"ENSG00000012660.13" 2366.47
"ENSG00000012779.10" 2247.16
"ENSG00000012817.15" 3289.76
"ENSG00000012822.15" 1251.28
"ENSG00000012963.14" 3235.13
"ENSG00000012983.11" 3442.93
"ENSG00000013016.15" 4377.16
"ENSG00000013275.7" 1245.79
"ENSG00000013288.8" 5316.82
"ENSG00000013293.5" 5029.5
"ENSG00000013297.10" 1595.16
"ENSG00000013306.15" 1237.61
"ENSG00000013364.18" 1978.52
"ENSG00000013374.15" 1729.05
"ENSG00000013375.15" 2431.61
"ENSG00000013392.7" 3485.16
"ENSG00000013441.15" 1562.15
"ENSG00000013503.9" 3929.76
"ENSG00000013523.9" 3614.02
"ENSG00000013561.17" 1413
"ENSG00000013563.13" 1728.45
"ENSG00000013573.16" 2347.17
"ENSG00000013583.8" 914.96
"ENSG00000013588.6" 3140.56
"ENSG00000013619.13" 3710.52
"ENSG00000013725.14" 2763.16
"ENSG00000013810.18" 2020.68
"ENSG00000014123.9" 3965.16
"ENSG00000014138.8" 1561.44
"ENSG00000014164.6" 3021.16
"ENSG00000014216.15" 2604.73
"ENSG00000014257.15" 795.71
"ENSG00000014641.17" 1149.83
"ENSG00000014824.13" 2609.99
"ENSG00000014914.19" 1832.37
"ENSG00000014919.12" 2271.94
"ENSG00000015133.18" 3886.07
"ENSG00000015153.14" 1025.44
"ENSG00000015171.18" 3154.31
"ENSG00000015285.10" 955.37
"ENSG00000015413.9" 376.13
"ENSG00000015475.18" 1199.19
"ENSG00000015479.17" 2090.9
"ENSG00000015520.14" 3883.41
"ENSG00000015532.9" 3036.48
"ENSG00000015568.12" 6216.11
"ENSG00000015592.16" 965.16
"ENSG00000015676.17" 2436.55
"ENSG00000016082.14" 2200.16
"ENSG00000016391.10" 7406.16
"ENSG00000016402.13" 3123.16
"ENSG00000016490.15" 2955.16
"ENSG00000016602.9" 1587.94
"ENSG00000016864.17" 1011.09
"ENSG00000017260.19" 3129.17
"ENSG00000017427.15" 2314.56
"ENSG00000017483.14" 1263.48
"ENSG00000017797.11" 3970.86
"ENSG00000018189.12" 1817.25
"ENSG00000018236.14" 1894.63
"ENSG00000018280.16" 3593.16
"ENSG00000018408.14" 2243.59
"ENSG00000018510.13" 4377.02
"ENSG00000018607.6" 1515.16
"ENSG00000018610.13" 1377.26
"ENSG00000018625.14" 809.28
"ENSG00000018699.11" 2535.04
"ENSG00000018869.16" 1134.5
"ENSG00000019102.11" 889.16
"ENSG00000019144.17" 2776.22
"ENSG00000019169.10" 970.21
"ENSG00000019186.9" 2258.44
"ENSG00000019485.12" 2068.52
"ENSG00000019505.7" 2211.53
"ENSG00000019549.8" 1840.16
"ENSG00000019582.14" 742.17
"ENSG00000019991.15" 1230.86
"ENSG00000019995.6" 5335.56
"ENSG00000020129.15" 2839.57
"ENSG00000020181.17" 5657.26
"ENSG00000020219.9" 1415.16
"ENSG00000020256.19" 2370.67
"ENSG00000020426.10" 709.4
"ENSG00000020577.13" 5565.01
"ENSG00000020633.18" 3602.16
"ENSG00000020922.12" 2985.08
"ENSG00000021300.13" 1250.11
"ENSG00000021355.12" 1631.76
"ENSG00000021461.16" 873
"ENSG00000021488.12" 1240.33
"ENSG00000021574.11" 4858.04
"ENSG00000021645.18" 2696.96
"ENSG00000021762.19" 2787.09
"ENSG00000021776.10" 3645.16
"ENSG00000021826.14" 3021.51
"ENSG00000021852.12" 1110.21
"ENSG00000022267.16" 1751.46
"ENSG00000022277.12" 1685.42
"ENSG00000022355.16" 702.16
"ENSG00000022556.15" 3152.16
"ENSG00000022567.9" 3250.64
"ENSG00000022840.15" 1977.51
"ENSG00000022976.15" 1917.14
"ENSG00000023041.11" 1732.02
"ENSG00000023171.15" 6340.53
"ENSG00000023191.16" 1426.89
"ENSG00000023228.13" 2236.96
"ENSG00000023287.12" 5611.82
"ENSG00000023318.7" 4595.16
"ENSG00000023330.14" 1632.93
"ENSG00000023445.13" 4179.9
"ENSG00000023516.8" 9661.16
"ENSG00000023572.8" 443.62
"ENSG00000023608.4" 2397.16
"ENSG00000023697.12" 1185.68
"ENSG00000023734.10" 1581.59
"ENSG00000023839.10" 5053.16
"ENSG00000023892.10" 2003.16
"ENSG00000023902.13" 1791.16
"ENSG00000023909.9" 2550.39
"ENSG00000024048.10" 7598.16
"ENSG00000024422.11" 3313.37
"ENSG00000024526.16" 3658
"ENSG00000024862.17" 1059.34
"ENSG00000025039.14" 2083.06
"ENSG00000025156.12" 2131.89
"ENSG00000025293.16" 3843.81
"ENSG00000025423.11" 1147.35
"ENSG00000025434.18" 784.55
"ENSG00000025708.13" 1412.77
"ENSG00000025770.18" 1661.57
"ENSG00000025772.7" 1803.16
"ENSG00000025796.13" 5127.21
"ENSG00000025800.13" 7099.89
"ENSG00000026025.14" 1603.54
"ENSG00000026036.21" 5107.53
"ENSG00000026103.20" 1709.16
"ENSG00000026297.15" 699.31
"ENSG00000026508.16" 2314.51
"ENSG00000026559.13" 1336.72
"ENSG00000026652.13" 5317.66
"ENSG00000026751.16" 2300.16
"ENSG00000026950.16" 2655.23
"ENSG00000027001.9" 2127.71
"ENSG00000027075.13" 2829.1
"ENSG00000027644.4" 4842.16
"ENSG00000027697.13" 1834.28
"ENSG00000027847.13" 1467.22
"ENSG00000027869.11" 674.08
"ENSG00000028116.16" 1654.58
"ENSG00000028137.17" 3413.32
"ENSG00000028203.17" 2084.64
"ENSG00000028277.21" 1908.97
"ENSG00000028310.17" 2039.11
"ENSG00000028528.14" 1924.9
"ENSG00000028839.9" 737.61
"ENSG00000029153.14" 3889.26
"ENSG00000029363.15" 3476.76
"ENSG00000029364.11" 3364.77
"ENSG00000029534.19" 6145.34
"ENSG00000029559.6" 1287.16
"ENSG00000029639.10" 1052.13
"ENSG00000029725.16" 3929.65
"ENSG00000029993.14" 777.09
"ENSG00000030066.13" 4511.01
"ENSG00000030110.12" 1905.51
"ENSG00000030304.13" 962.16
"ENSG00000030419.16" 5777.26
"ENSG00000030582.16" 1847.86
"ENSG00000031003.10" 4533.86
"ENSG00000031081.10" 9058.16
"ENSG00000031691.6" 1474.16
"ENSG00000031698.12" 1532.71
"ENSG00000031823.14" 995.97
"ENSG00000032219.18" 3648.67
"ENSG00000032389.12" 1411.89
"ENSG00000032444.15" 1522.92
"ENSG00000032742.17" 2324.9
"ENSG00000033011.11" 1514.82
"ENSG00000033030.13" 2350.6
"ENSG00000033050.7" 2838.91
"ENSG00000033100.15" 3528.37
"ENSG00000033122.18" 2724.16
"ENSG00000033170.16" 2205.8
"ENSG00000033178.12" 4990.56
"ENSG00000033327.12" 5218.09
"ENSG00000033627.15" 2418.7
"ENSG00000033800.13" 3569.15
"ENSG00000033867.16" 4589.88
"ENSG00000034053.14" 1874.05
"ENSG00000034152.18" 1811.3
"ENSG00000034239.10" 849.52
"ENSG00000034510.5" 237.58
"ENSG00000034533.11" 2231.33
"ENSG00000034677.12" 3372.87
"ENSG00000034693.14" 1366.86
"ENSG00000034713.7" 720.02
"ENSG00000034971.15" 1836.16
"ENSG00000035115.21" 1186.17
"ENSG00000035141.7" 1549.54
"ENSG00000035403.16" 6138.94
"ENSG00000035499.12" 2123.81
"ENSG00000035664.11" 2374.62
"ENSG00000035681.7" 2883.26
"ENSG00000035687.9" 2425.61
"ENSG00000035720.7" 1069.66
"ENSG00000035862.12" 3103.51
"ENSG00000035928.14" 2591.46
"ENSG00000036054.12" 3268.5
"ENSG00000036257.12" 2097.84
"ENSG00000036448.9" 921.91
"ENSG00000036473.6" 847.18
"ENSG00000036530.8" 2951.05
"ENSG00000036549.12" 3556.81
"ENSG00000036565.14" 1741.06
"ENSG00000036672.15" 2577.9
"ENSG00000036828.14" 4752.16
"ENSG00000037042.8" 1344.25
"ENSG00000037241.7" 436.64
"ENSG00000037280.15" 3277.78
"ENSG00000037474.14" 2409.36
"ENSG00000037637.10" 3734.17
"ENSG00000037749.11" 1537.07
"ENSG00000037757.13" 1997.08
"ENSG00000037897.16" 869.78
"ENSG00000037965.5" 1630.16
"ENSG00000038002.8" 1126.27
"ENSG00000038210.12" 3281.16
"ENSG00000038219.12" 4995.56
"ENSG00000038274.16" 1837.72
"ENSG00000038295.7" 6449.16
"ENSG00000038358.14" 2064.71
"ENSG00000038382.17" 4620.88
"ENSG00000038427.15" 4076.68
"ENSG00000038532.14" 3701.25
"ENSG00000038945.14" 899.45
"ENSG00000039068.18" 2235.22
"ENSG00000039123.15" 3393.31
"ENSG00000039139.9" 7119.09
"ENSG00000039319.16" 4647.56
"ENSG00000039523.18" 3497.55
"ENSG00000039537.13" 1109.42
"ENSG00000039560.13" 3934.29
"ENSG00000039600.10" 1407.16
"ENSG00000039650.10" 768.5
"ENSG00000039987.6" 1424.67
"ENSG00000040199.18" 7437.86
"ENSG00000040275.16" 1637.95
"ENSG00000040341.17" 1390.54
"ENSG00000040487.12" 1241.95
"ENSG00000040531.14" 2200.65
"ENSG00000040608.13" 1732.53
"ENSG00000040633.12" 1418.72
"ENSG00000040731.10" 1109.2
"ENSG00000040933.15" 5286.62
"ENSG00000041353.9" 6708.5
"ENSG00000041357.15" 580.02
"ENSG00000041515.15" 4509.87
"ENSG00000041802.10" 2539.06
"ENSG00000041880.14" 1481.35
"ENSG00000041982.15" 4816.5
"ENSG00000041988.15" 957.61
"ENSG00000042062.11" 2698.69
"ENSG00000042088.13" 1934.33
"ENSG00000042286.14" 2861.12
"ENSG00000042304.10" 1706.16
"ENSG00000042317.16" 1507.16
"ENSG00000042429.10" 1422.56
"ENSG00000042445.13" 2605.48
"ENSG00000042493.15" 865.42
"ENSG00000042753.11" 611.98
"ENSG00000042781.12" 12214.16
"ENSG00000042813.7" 498.62
"ENSG00000042832.11" 217.8
"ENSG00000042980.12" 470.06
"ENSG00000043039.6" 1554.16
"ENSG00000043093.13" 2546.87
"ENSG00000043143.20" 3723.5
"ENSG00000043355.11" 2724.16
"ENSG00000043462.11" 716.73
"ENSG00000043514.15" 1523.52
"ENSG00000043591.5" 2594.16
"ENSG00000044012.3" 338.22
"ENSG00000044090.8" 4042.71
"ENSG00000044115.20" 3028.21
"ENSG00000044446.11" 3368.48
"ENSG00000044459.14" 3048.98
"ENSG00000044524.10" 2287.16
"ENSG00000044574.7" 3649.16
"ENSG00000046604.12" 5468.79
"ENSG00000046647.13" 804.12
"ENSG00000046651.14" 2591.22
"ENSG00000046653.14" 2164.94
"ENSG00000046774.9" 1732.16
"ENSG00000046889.18" 10491.16
"ENSG00000047056.14" 4024.58
"ENSG00000047188.15" 5974.72
"ENSG00000047230.14" 3498.19
"ENSG00000047249.16" 1683.64
"ENSG00000047315.14" 3179.47
"ENSG00000047346.12" 2061.51
"ENSG00000047365.11" 6938.39
"ENSG00000047410.13" 5642.56
"ENSG00000047457.13" 2476.02
"ENSG00000047578.12" 2088.94
"ENSG00000047579.19" 1143.33
"ENSG00000047597.5" 4947.16
"ENSG00000047617.14" 1303.19
"ENSG00000047621.11" 2431.49
"ENSG00000047634.14" 2629.12
"ENSG00000047644.18" 5172.07
"ENSG00000047648.21" 2008.16
"ENSG00000047662.4" 6363.16
"ENSG00000047849.21" 4792.97
"ENSG00000047932.13" 4328.86
"ENSG00000047936.10" 7158.16
"ENSG00000048028.11" 2139.36
"ENSG00000048052.21" 3128.32
"ENSG00000048140.17" 1787.44
"ENSG00000048162.20" 857.07
"ENSG00000048342.15" 1247.91
"ENSG00000048392.11" 4430.73
"ENSG00000048405.9" 3826.22
"ENSG00000048462.10" 465.6
"ENSG00000048471.13" 7568.55
"ENSG00000048540.14" 1309.36
"ENSG00000048544.5" 1851.16
"ENSG00000048545.13" 1421.96
"ENSG00000048649.13" 4618.8
"ENSG00000048707.13" 8939.79
"ENSG00000048740.18" 4875.9
"ENSG00000048828.16" 4344.71
"ENSG00000048991.16" 2662.62
"ENSG00000049089.13" 1155.26
"ENSG00000049130.13" 3549.18
"ENSG00000049167.13" 1441.04
"ENSG00000049192.14" 2282.47
"ENSG00000049239.12" 8887.16
"ENSG00000049245.12" 1796.14
"ENSG00000049246.14" 5808.67
"ENSG00000049247.13" 601.91
"ENSG00000049249.8" 3035.68
"ENSG00000049283.17" 1954.16
"ENSG00000049323.15" 4325.22
"ENSG00000049449.8" 2159.41
"ENSG00000049540.16" 2444.16
"ENSG00000049541.10" 1264.41
"ENSG00000049618.22" 4144.81
"ENSG00000049656.13" 1056.46
"ENSG00000049759.17" 3187.44
"ENSG00000049768.14" 2015.16
"ENSG00000049769.12" 2822.92
"ENSG00000049860.13" 1034.24
"ENSG00000049883.14" 2676.77
"ENSG00000050030.13" 7358.27
"ENSG00000050130.17" 1409.21
"ENSG00000050165.17" 1291.55
"ENSG00000050327.14" 3753.86
"ENSG00000050344.8" 2702.78
"ENSG00000050393.11" 3154.71
"ENSG00000050405.13" 3083.98
"ENSG00000050426.15" 1190.16
"ENSG00000050438.16" 3956.01
"ENSG00000050555.17" 3302.03
"ENSG00000050628.20" 1145.16
"ENSG00000050730.15" 579.16
"ENSG00000050748.17" 3106.58
"ENSG00000050767.15" 1727.19
"ENSG00000050820.16" 2718.63
"ENSG00000051009.10" 2212.1
"ENSG00000051108.14" 1285.52
"ENSG00000051128.18" 978.61
"ENSG00000051180.16" 1403.81
"ENSG00000051341.13" 6374.81
"ENSG00000051382.8" 3406.73
"ENSG00000051523.10" 547.16
"ENSG00000051596.9" 1246.41
"ENSG00000051620.10" 3386.82
"ENSG00000051825.14" 2079.55
"ENSG00000052126.14" 3482.68
"ENSG00000052344.15" 1496.64
"ENSG00000052723.11" 1767.4
"ENSG00000052749.13" 2945.86
"ENSG00000052795.12" 5702.05
"ENSG00000052802.12" 1820.81
"ENSG00000052841.14" 2606.08
"ENSG00000052850.5" 5491.16
"ENSG00000053108.16" 2288.78
"ENSG00000053254.15" 5717.6
"ENSG00000053328.8" 689.16
"ENSG00000053371.12" 1094.04
"ENSG00000053372.4" 1988.42
"ENSG00000053438.8" 950.16
"ENSG00000053501.12" 526.77
"ENSG00000053524.11" 2195.22
"ENSG00000053702.14" 2487.16
"ENSG00000053747.15" 4403.82
"ENSG00000053770.11" 2551.31
"ENSG00000053900.10" 2067.72
"ENSG00000053918.15" 1095.16
"ENSG00000054116.11" 961.61
"ENSG00000054118.13" 3623.75
"ENSG00000054148.17" 575.79
"ENSG00000054179.11" 609.16
"ENSG00000054219.10" 2663.68
"ENSG00000054267.20" 4664.59
"ENSG00000054277.13" 1217.57
"ENSG00000054282.15" 1762.86
"ENSG00000054356.13" 442.17
"ENSG00000054392.12" 3183.19
"ENSG00000054523.17" 7853.83
"ENSG00000054598.6" 3667.16
"ENSG00000054611.13" 2398.08
"ENSG00000054654.15" 4172.49
"ENSG00000054690.13" 2285.48
"ENSG00000054793.13" 7537.15
"ENSG00000054796.12" 1151.36
"ENSG00000054803.3" 2765.16
"ENSG00000054938.15" 728.9
"ENSG00000054965.10" 5815.95
"ENSG00000054967.12" 2983.93
"ENSG00000054983.16" 3581.82
"ENSG00000055044.10" 1555.03
"ENSG00000055070.16" 2441.53
"ENSG00000055118.14" 2945.13
"ENSG00000055130.15" 2804.22
"ENSG00000055147.18" 2048.59
"ENSG00000055163.19" 1574.49
"ENSG00000055208.18" 3806.45
"ENSG00000055211.12" 1765.16
"ENSG00000055332.16" 4506.97
"ENSG00000055483.19" 2713.07
"ENSG00000055609.17" 7317.81
"ENSG00000055732.12" 2431.86
"ENSG00000055813.5" 3723.16
"ENSG00000055917.15" 4987.79
"ENSG00000055950.16" 695.23
"ENSG00000055955.15" 1179.63
"ENSG00000055957.10" 1023.3
"ENSG00000056050.6" 961.86
"ENSG00000056097.15" 4095.19
"ENSG00000056277.15" 4111.61
"ENSG00000056291.17" 1178.16
"ENSG00000056487.15" 3059
"ENSG00000056558.10" 4021.32
"ENSG00000056586.15" 6806.82
"ENSG00000056736.9" 1773.95
"ENSG00000056972.18" 1562.31
"ENSG00000056998.18" 1697.16
"ENSG00000057019.15" 5578.33
"ENSG00000057149.15" 1400.16
"ENSG00000057252.12" 2993.56
"ENSG00000057294.14" 3389.74
"ENSG00000057468.6" 3007.16
"ENSG00000057593.13" 2150.16
"ENSG00000057608.16" 2067.02
"ENSG00000057657.15" 4894.68
"ENSG00000057663.13" 2691.08
"ENSG00000057704.11" 1572.44
"ENSG00000057757.9" 1233.99
"ENSG00000057935.13" 1663
"ENSG00000058056.8" 5802.78
"ENSG00000058063.15" 4989.21
"ENSG00000058085.14" 4732.44
